country_code,country_name,capital_city,lat,lng,GDP_2018 (million),tech_export_2018 (million),doing_business_2018,region,fdi_USA_2018 (million)
GNB,Guinea-Bissau,Bissau,11.8636,-15.5977,1458.15602613413,,42.9,Africa,0.0
HTI,Haiti,Port-au-Prince,18.5392,-72.335,9658.721169632841,,37.7,Latin America,-1.0
HND,Honduras,Tegucigalpa,14.0818,-87.2068,24024.189735887598,,55.9,Latin America,-80.0
HKG,"Hong Kong SAR, China",Hong Kong,22.2796,114.1887,361693.05351789296,330000.0,85.0,Asia,13159.0
HUN,Hungary,Budapest,47.498000000000005,19.0399,157882.91277825402,18065.9217,72.7,Europe ,31730.0
IND,India,Delhi,28.6667,77.2167,2713165.05751335,20273.0902,60.9,Asia,5127.0
IDN,Indonesia,Jakarta,-6.2118,106.8416,1042240.30941258,6389.6047,66.9,Asia,344.0
IRQ,Iraq,Baghdad,33.3406,44.4009,224228.01047791907,,44.6,Asia,-2.0
IRL,Ireland,Dublin,53.3331,-6.2489,382674.36076634104,36493.7948,80.1,Europe ,265004.0
ISR,Israel,Jerusalem,31.769000000000002,35.2163,370587.97715358296,12971.903,74.3,Asia,13982.0
ITA,Italy,Roma (Rome),41.8947,12.4811,2085764.30086227,32581.0252,73.2,Europe ,30749.0
JAM,Jamaica,Kingston,17.997,-76.7936,15713.908816146299,,67.7,Latin America,46.0
JPN,Japan,Tokyo,35.6895,139.6917,4954806.619995192,111000.0,78.0,Asia,493763.0
JOR,Jordan,Amman,31.9552,35.945,42231.2957746479,142.1883,59.9,Asia,-218.0
KAZ,Kazakhstan,Astana,51.1801,71.446,179339.994859384,1762.9777,76.9,Europe ,0.0
KEN,Kenya,Nairobi,-1.2833,36.8167,87778.5829641388,54.8993,65.4,Africa,-5.0
KIR,Kiribati,Tarawa,1.3272,172.9813,196.737895995218,,46.2,Asia,0.0
PRK,"Korea, Dem. People’s Rep.",P'yongyang,39.0339,125.7543,,,,Asia,0.0
KOR,"Korea, Rep.",Seoul,37.5683,126.9778,1720578.82780554,193000.0,84.0,Asia,56612.0
XKX,Kosovo,,,,7942.961738308931,,70.5,Europe ,0.0
KWT,Kuwait,Al Kuwayt (Kuwait City),29.3697,47.9783,140645.36423841098,231.3634,61.8,Asia,1276.0
KGZ,Kyrgyz Republic,Bishkek,42.87,74.59,8271.10863839931,40.0237,62.4,Europe ,0.0
LAO,Lao PDR,Vientiane,17.9667,102.6,17953.786416143103,467.9812,50.0,Asia,0.0
LBN,Lebanon,Bayrut (Beirut),33.9,35.4833,54961.27574155889,39.5293,54.4,Asia,19.0
LSO,Lesotho,Maseru,-29.3167,27.4833,2575.89226132457,,58.6,Africa,0.0
LBR,Liberia,Monrovia,6.3005,-10.7969,3264.0,,43.6,Africa,466.0
LBY,Libya,Tarabulus (Tripoli),32.8752,13.1875,52607.8887179487,,32.5,Africa,1.0
LTU,Lithuania,Vilnius,54.6892,25.2798,53455.170033519404,2516.3214,80.6,Europe ,-4.0
LUX,Luxembourg,Luxembourg,49.6117,6.13,70919.95801552472,858.2699,69.6,Europe ,312976.0
MDG,Madagascar,Antananarivo,-18.9137,47.5361,13853.433947624098,2.9993,46.4,Africa,0.0
MWI,Malawi,Lilongwe,-13.9669,33.7873,6917.301908627571,,59.5,Africa,0.0
MYS,Malaysia,Kuala Lumpur,3.1412,101.6865,358581.94344625896,90395.903,78.8,Asia,1218.0
MDV,Maldives,Male,4.1748,73.5089,5327.45714972581,,53.2,Asia,0.0
MLI,Mali,Bamako,12.65,-8.0,17172.02268431,,52.9,Africa,-1.0
MLT,Malta,Valletta,35.8997,14.5147,14603.581712328798,762.2507,65.2,Europe ,1557.0
MRT,Mauritania,Nouakchott,18.0858,-15.9785,7049.16977086399,,48.4,Africa,0.0
MUS,Mauritius,Port Louis,-20.1619,57.4989,14181.8037154038,31.2926,78.9,Africa,487.0
MEX,Mexico,Ciudad de México (Mexico City),19.4273,-99.1419,1220699.47984598,74886.1238,72.5,Latin America,21050.0
FSM,"Micronesia, Fed. Sts.",Palikir,6.9174,158.1588,401.9323,,48.1,Asia,1.0
MDA,Moldova,,,,11457.4102641932,18.9441,72.7,Europe ,0.0
MCO,Monaco,Monaco,43.7333,7.4167,7188.23807274445,,,Europe ,-26.0
MNG,Mongolia,Ulaanbaatar,47.9077,106.8832,13108.7694957425,6.7633,67.4,Asia,-1.0
MNE,Montenegro,Podgorica,42.4411,19.2636,5506.766650921109,4.2465,73.8,Europe ,0.0
MAR,Morocco,Rabat,34.0133,-6.8326,117921.394402361,838.9599,69.2,Africa,-22.0
MOZ,Mozambique,Maputo,-25.9653,32.5892,14717.2232069,27.2201,52.8,Africa,-1.0
MMR,Myanmar,Nay Pyi Taw,19.745,96.1297,76168.0439815932,312.0546,43.0,Asia,3.0
NAM,Namibia,Windhoek,-22.5594,17.0832,13454.2111244607,2.8883,61.1,Africa,2.0
NRU,Nauru,Nauru,-0.5308,166.9112,124.02139369041201,,,Asia,0.0
NPL,Nepal,Kathmandu,27.7017,85.3206,29173.513475559703,,60.0,Asia,-1.0
NLD,Netherlands,Amsterdam,52.373999999999995,4.8897,914104.847814117,85690.5732,76.1,Europe ,462303.0
NZL,New Zealand,Wellington,-41.2866,174.7756,207920.61396174895,606.9409,87.0,New Zealand,2107.0
NIC,Nicaragua,Managua,12.1328,-86.2504,13063.8730778495,14.953,54.2,Latin America,-8.0
NER,Niger,Niamey,13.5137,2.1098,12826.750567185902,,51.2,Africa,0.0
NGA,Nigeria,Abuja,9.0574,7.4898,398160.40320651897,41.632,52.0,Africa,81.0
MKD,North Macedonia,,,,12628.8548009772,234.1701,80.3,Europe ,-1.0
NOR,Norway,Oslo,59.9127,10.7461,434166.615431909,4294.5429,82.7,Europe ,26007.0
OMN,Oman,Masqat (Muscat),23.6139,58.5922,79275.422626788,73.3026,68.6,Asia,15.0
PAK,Pakistan,Islamabad,33.7035,73.0594,314567.54155833897,380.3684,53.0,Asia,167.0
PLW,Palau,Koror,7.3426,134.4789,283.9949,0.4016,53.7,Asia,0.0
PAN,Panama,Ciudad de Panamá (Panama City),8.9958,-79.5196,65128.2,,66.5,Latin America,2789.0
PNG,Papua New Guinea,Port Moresby,-9.4431,147.1797,23412.4950634985,,59.4,Asia,1.0
PRY,Paraguay,Asunción,-25.3007,-57.6359,40384.691790568504,102.3366,58.0,Latin America,-9.0
PER,Peru,Lima,-12.0432,-77.0282,222044.970486217,210.4786,67.8,Latin America,195.0
